# ra	dec	mag	bv	bayer	flamsteed	constellation
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
236.5471	15.4219	3.67	+0.06	β	28	Ser
130.8979	-33.1864	3.68	-0.18	α		Pyx
190.4150	-1.4494	3.68		γ	29	Vir
231.9571	29.1058	3.68	+0.28	β	3	CrB
325.0229	-16.6622	3.68	+0.32	γ	40	Cap
49.8792	-21.7578	3.69	+1.62	τ⁴	16	Eri
72.8017	5.6050	3.69	-0.17	π⁴	3	Ori
146.3117	-62.5078	3.69	+1.22			
349.2912	3.2822	3.69	+0.92	γ	6	Psc
28.9896	-51.6089	3.70	+0.85	χ		Eri
56.2188	24.1133	3.70	-0.11		17	Tau
269.4412	29.2478	3.70	+0.94	ξ	92	Her
89.1013	-14.1678	3.71	+0.33	η	16	Lep
176.5125	47.7794	3.71	+1.18	χ	63	UMa
237.7042	4.4778	3.71	+0.15	ε	37	Ser
298.8283	6.4067	3.71	+0.86	β	60	Aql
73.5629	2.4406	3.72	-0.18	π⁵	8	Ori
89.8817	54.2847	3.72	+1.00	δ	33	Aur
221.5621	1.8928	3.72	-0.01		109	Vir
316.2329	43.9278	3.72	+1.65	ξ	62	Cyg
318.6979	38.0456	3.72	+0.39	τ	65	Cyg
27.8650	-10.3350	3.73	+1.14	ζ	55	Cet
53.2325	-9.4583	3.73	+0.88	ε	18	Eri
118.0542	-40.5758	3.73	+1.04			
271.8375	9.5639	3.73	+0.12		72	Oph
51.7925	9.7328	3.74	-0.09	ξ	2	Tau
321.6667	-22.4114	3.74	+1.00	ζ	34	Cap
343.1538	-7.5797	3.74	+1.64	λ	73	Aqr
75.6196	41.0758	3.75	+1.22	ζ	8	Aur
136.0387	-47.0978	3.75	+1.20			
245.4800	19.1531	3.75	+0.27	γ	20	Her
266.9733	2.7072	3.75	+0.04	γ	62	Oph
268.3821	56.8728	3.75	+1.18	ξ	32	Dra
337.2929	58.4153	3.75	+0.60	δ	27	Cep
42.6742	55.8956	3.76	+1.68	η	15	Per
65.7338	17.5425	3.76	+0.98	δ¹	61	Tau
83.4062	-62.4897	3.76	+0.82	β		Dor
252.4463	-59.0414	3.76	+1.57	η		Ara
325.3687	-77.3900	3.76	+1.00	ν		Oct
331.7529	25.3450	3.76	+0.44	ι	24	Peg
56.2983	42.5786	3.77	+0.42	ν	41	Per
126.4342	-66.1369	3.77	+1.13	β		Vol
286.1708	-21.7417	3.77	+1.01	ο	39	Sgr
289.2758	53.3686	3.77	+0.96	κ	1	Cyg
309.9096	15.9119	3.77	-0.06	α	9	Del
311.9192	-9.4958	3.77	0.00	ε	2	Aqr
337.8229	50.2825	3.77	+0.01	α	7	Lac
107.1871	-70.4989	3.78	+1.04	γ²		Vol
163.3733	-58.8533	3.78	+0.95			
106.0271	20.5703	3.79	+0.79	ζ	43	Gem
111.4317	27.7981	3.79	+1.03	ι	60	Gem
292.4262	51.7297	3.79	+0.14	ι²	10	Cyg
303.4079	46.7414	3.79	+1.28		31	Cyg
47.3742	44.8572	3.80	+0.98	κ	27	Per
147.7475	59.0386	3.80	+0.29	υ	29	UMa
154.9942	19.8406	3.80		γ²	41	Leo
233.7004	10.5375	3.80	+0.26	δ	13	Ser
233.7004	10.5392	3.80	+0.26	δ	13	Ser
264.8662	46.0064	3.80	-0.18	ι	85	Her
84.6867	-2.6000	3.81	-0.24	σ	48	Ori
87.8304	-20.8792	3.81	+0.99	δ	15	Lep
156.5225	-16.8364	3.81	+1.48	μ	42	Hya
68.8875	-30.5622	3.82	+0.98	υ²	52	Eri
139.7113	36.8025	3.82	+0.06		38	Lyn
156.9696	-58.7394	3.82	+0.31			
247.7283	1.9839	3.82	+0.01	λ	10	Oph
296.8471	18.5342	3.82	+1.41	δ	7	Sge
354.3913	46.4581	3.82	+1.01	λ	16	And
56.0796	32.2883	3.83	+0.05	ο	38	Per
163.3279	34.2150	3.83	+1.04		46	LMi
209.5679	-42.1008	3.83	-0.21	φ		Cen
221.9650	-79.0447	3.83	+1.43	α		Aps
271.8858	28.7625	3.83	-0.03	ο	103	Her
297.0433	70.2678	3.83	+0.89	ε	63	Dra
67.1438	15.9622	3.84	+0.95	θ¹	77	Tau
130.1567	-46.6489	3.84	+0.71			
133.7617	-60.6447	3.84	-0.10			
159.3254	-48.2258	3.84	+0.30			
172.8508	69.3311	3.84	+1.62	λ	1	Dra
235.6858	26.2956	3.84	0.00	γ	8	CrB
275.9246	21.7697	3.84	+1.18		109	Her
335.4142	-1.3872	3.84	-0.05	γ	48	Aqr
56.0500	-64.8069	3.85	+1.13	β		Ret
86.8212	-51.0664	3.85	+0.17	β		Pic
95.5283	-33.4364	3.85	+0.88	δ		Col
108.7029	-26.7728	3.85	-0.17	ω	28	CMa
153.6842	-42.1219	3.85	+0.05			
158.2029	9.3067	3.85	-0.14	ρ	47	Leo
239.1133	15.6617	3.85	+0.48	γ	41	Ser
243.8596	-63.6856	3.85	+1.11	δ		TrA
278.8017	-8.2442	3.85	+1.33	α		Sct
63.5004	-42.2944	3.86	+1.10	α		Hor
189.4258	-48.5411	3.86	+0.05	τ		Cen
269.0633	37.2506	3.86	+1.35	θ	91	Her
273.4408	-21.0589	3.86	+0.23	μ	13	Sgr
14.1883	38.4994	3.87	+0.13	μ	37	And
48.0179	-28.9869	3.87	+0.52	α		For
56.4567	24.3678	3.87	-0.07		20	Tau
69.5450	-14.3039	3.87	+1.09		53	Eri
82.8029	-35.4706	3.87	+1.14	ε		Col
103.5329	-24.1839	3.87	+1.73	ο¹	16	CMa
188.1167	-72.1331	3.87	-0.15	γ		Mus
188.3708	69.7883	3.87	-0.13	κ	5	Dra
209.6700	-44.8036	3.87	-0.20	υ¹		Cen
227.9838	-48.7378	3.87	-0.05	κ¹		Lup
2.3529	-45.7475	3.88	+1.03	ε		Phe
138.5912	2.3142	3.88	-0.06	θ	22	Hya
148.1908	26.0069	3.88	+1.22	μ	24	Leo
202.7613	-39.4075	3.88	+1.17			
220.7650	-5.6583	3.88	+0.38	μ	107	Vir
239.2212	-29.2142	3.88	-0.20	ρ	5	Sco
44.1071	-8.8981	3.89	+1.11	η	3	Eri
170.2517	-54.4911	3.89	-0.15	π		Cen
184.9767	-0.6669	3.89	+0.02	η	15	Vir
244.9350	46.3133	3.89	-0.15	τ	22	Her
248.3625	-78.8972	3.89	+0.91	γ		Aps
299.0767	35.0833	3.89	+1.02	η	21	Cyg
126.4150	-3.9064	3.90	-0.02			
298.1183	1.0056	3.90	+0.89	η	55	Aql
347.5900	-45.2467	3.90	+1.02	ι		Gru
60.7892	5.9892	3.91	+0.03	ν	38	Tau
131.5071	-46.0417	3.91	0.00			
144.9642	-1.1428	3.91	+1.32	ι	35	Hya
167.1475	-58.9750	3.91	+1.23			
187.0100	-50.2306	3.91	-0.19	σ		Cen
233.8817	-14.7894	3.91	+1.01	γ	38	Lib
17.0963	-55.2458	3.92	-0.08	ζ		Phe
255.0725	30.9264	3.92	-0.01	ε	58	Her
318.9558	5.2478	3.92	+0.53	α	8	Equ
69.0796	-3.3525	3.93	-0.21	ν	48	Eri
115.3117	-9.5511	3.93	+1.02	α	26	Mon
290.4183	-17.8472	3.93	+0.22	ρ¹	44	Sgr
6.5508	-43.6800	3.94	+0.17	κ		Phe
131.1712	18.1542	3.94	+1.08	δ	47	Cnc
170.9812	10.5292	3.94	+0.41	ι	78	Leo
314.2933	41.1672	3.94	+0.02	ν	58	Cyg
22.8129	-49.0728	3.95	+0.99	δ		Phe
43.5646	52.7625	3.95	+0.74	τ	18	Per
99.1708	-19.2558	3.95	+1.06	ν²	7	CMa
115.4550	-72.6061	3.95	+1.04	ζ		Vol
200.9850	54.9217	3.95	+0.13	ζ	79	UMa
237.7396	-33.6272	3.95	-0.04	χ	5	Lup
341.6329	23.5656	3.95	+1.07	λ	47	Peg
66.0092	-34.0169	3.96	+1.49		43	Eri
89.7867	-42.8153	3.96	+1.14	η		Col
102.4604	-32.5086	3.96	-0.23	κ	13	CMa
115.9521	-28.9547	3.96	+0.18		3	Pup
182.9129	-52.3686	3.96	-0.15	ρ		Cen
241.7017	-20.6692	3.96	-0.04	ω¹	9	Sco
300.1479	-72.9106	3.96	-0.03	ε		Pav
87.8725	39.1486	3.97	+1.13	ν	32	Aur
130.0258	-35.3083	3.97	+0.94	β		Pyx
