# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
194.0071	38.3183	2.90	-0.12	α²	12	CVn	-234.0	56.0
322.8896	-5.5711	2.91	+0.83	β	22	Aqr	21.0	-8.0
46.1992	53.5064	2.93	+0.70	γ	23	Per	0.0	-5.0
102.4842	-50.6147	2.93	+1.20	τ		Pup	36.0	-70.0
340.7504	30.2214	2.94	+0.86	η	44	Peg	15.0	-25.0
59.5075	-13.5086	2.95	+1.59	γ	34	Eri	61.0	-111.0
187.4663	-16.5156	2.95	-0.05	δ	7	Crv	-210.0	-138.0
262.9604	-49.8761	2.95	-0.17	α		Ara	-31.0	-70.0
331.4458	-0.3197	2.96	+0.98	α	34	Aqr	20.0	-10.0
100.9829	25.1311	2.98	+1.40	ε	27	Gem	-6.0	-13.0
146.4629	23.7742	2.98	+0.80	ε	17	Leo	-46.0	-11.0
75.4921	43.8233	2.99	+0.54	ε	7	Aur	-1.0	-4.0
271.4521	-30.4242	2.99	+1.00	γ²	10	Sgr	-53.0	-185.0
286.3525	13.8633	2.99	+0.01	ζ	17	Aql	-5.0	-96.0
32.3858	34.9872	3.00	+0.14	β	4	Tri	150.0	-40.0
84.4113	21.1425	3.00	-0.19	ζ	123	Tau	0.0	-21.0
182.5312	-22.6197	3.00	+1.33	ε	2	Crv	-71.0	14.0
199.7304	-23.1717	3.00	+0.92	γ	46	Hya	64.0	-45.0
55.7313	47.7875	3.01	-0.13	δ	39	Per	28.0	-34.0
146.7754	-65.0719	3.01	+0.28	υ		Car	-12.0	11.0
167.4158	44.4986	3.01	+1.14	ψ	52	UMa	-65.0	-28.0
328.4821	-37.3650	3.01	-0.12	γ		Gru	102.0	-21.0
95.0783	-30.0633	3.02	-0.19	ζ	1	CMa	9.0	3.0
105.7562	-23.8333	3.02	-0.08	ο²	24	CMa	-4.0	3.0
218.0196	38.3083	3.03	+0.19	γ	27	Boo	-114.0	153.0
266.8963	-40.1269	3.03	+0.51	ι¹		Sco	0.0	-8.0
34.8362	-2.9775	3.04	+1.42	ο	68	Cet	-8.0	-237.0
207.4042	-42.4739	3.04	-0.17	μ		Cen	-23.0	-20.0
155.5821	41.4994	3.05	+1.59	μ	34	UMa	-82.0	35.0
191.5704	-68.1081	3.05	-0.18	β		Mus	-39.0	-17.0
230.1821	71.8339	3.05	+0.05	γ	13	UMi	-19.0	20.0
288.1388	67.6617	3.07	+1.00	δ	57	Dra	94.0	93.0
252.9675	-38.0475	3.08	-0.20	μ¹		Sco	-11.0	-25.0
