# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0144	G	24.42021	-13.31467	15.74	B	0.74	0.67	46	
IC0145	G	24.66033	0.74150	15.40	B	0.69	0.50	6	
IC0147	G	24.99896	-14.86264	15.23	B	0.76	0.42	58	
IC0148	G	25.61238	13.97703	13.84	B	1.82	0.57	45	
IC0149	G	25.60575	-16.30042	14.40	B	1.27	0.41	82	
IC0150	G	25.73967	4.20017	14.86	B	0.88	0.50	137	
IC0151	Other	25.98946	13.20261						
IC0152	Other	26.03079	13.03586						
IC0153	Other	26.15087	12.62894						
IC0154	G	26.31779	10.64919	14.83	B	1.19	0.23	66	
IC0155	Other	26.88471	60.61083						
IC0156	G	26.37171	10.55272	14.92	B	1.51	1.33	105	
IC0157	Other	26.42667	12.87333						
IC0158	G	26.47300	-6.93569	15.88	B	0.70	0.53	140	
IC0159	G	26.60438	-8.63661	14.18	B	1.35	0.75	28	
IC0160	G	26.62317	-13.24772	14.88	B	1.28	0.86	85	
IC0161	G	27.18225	10.50789	14.27	B	0.90	0.54	67	
IC0162	G	27.22263	10.52161	14.46	B	1.32	1.28	85	
IC0163	G	27.31246	20.71131	13.26	V	1.62	0.73	90	
IC0164	G	27.28504	-3.90439	14.04	B	1.58	1.35	167	
IC0166	OCl	28.09925	61.85261	11.70	V	7.50			
IC0167	G	27.78567	21.91281	13.26	V	1.60	0.94	107	
IC0168	G	27.61513	-8.52294	14.85	B	1.12	0.39	104	
IC0169	G	27.66400	-12.67961	15.79	B	0.74	0.51	76	
IC0170	G	27.98967	-8.51761	15.34	B	0.78	0.60	92	
IC0171	G	28.79254	35.28189	13.69	B	2.26	1.90	107	
IC0172	G	28.72596	0.81122	14.74	B	0.48	0.37	95	
IC0173	G	28.98813	1.28517	14.09	V	0.92	0.72	90	
IC0174	G	29.06700	3.76186	14.52	B	1.49	0.99	97	
IC0175	G	29.07858	1.33242	15.70	B	0.52	0.46	9	
IC0176	G	29.22250	-2.01897	14.90	B	1.78	0.38	94	
IC0177	G	29.25242	-0.08986	15.47	B	0.51	0.47	11	
IC0178	G	29.72863	36.67469	13.28	V	0.94	0.79	159	
IC0179	G	30.04792	38.02133	12.56	V	1.12	0.90	111	
IC0180	G	30.00171	23.60433	15.30	B	0.83	0.34	150	
IC0181	G	30.00971	23.65864	15.85	B	0.57	0.49	55	
IC0182	G	29.96588	7.41183	14.54	B	1.06	0.70	36	
IC0183	G	29.89188	-5.34714	14.89	B	1.19	0.37	98	
IC0184	G	29.96346	-6.84039	13.89	V	1.12	0.59	178	
IC0185	G	30.02517	-1.52833	15.72	B	0.79	0.33	82	
IC0186	GTrpl	30.10208	-1.55172			1.10			
IC0186A	G	30.10000	-1.55286	14.87	B	1.21	0.76	33	
IC0186B	G	30.10604	-1.54981	15.80	B	0.69	0.47	0	
IC0186 NED03	G	30.10583	-1.55083			0.25	0.20	101	
IC0187	G	30.37817	26.48097	13.79	B	2.23	0.73	70	
IC0188	G	30.44375	26.54689	14.40	B	0.54	0.28	46	
IC0189	G	30.47046	23.55150	14.85	B	0.78	0.67	86	
IC0190	G	30.53033	23.54983	15.03	B	0.25	0.20	95	
IC0192	G	30.63496	16.01417	14.75	B	0.95	0.67	148	
IC0193	G	30.62908	11.09308	14.62	B	1.36	0.97	154	
IC0194	G	30.77175	2.61425	15.18	B	1.85	0.33	14	
IC0195	G	30.93587	14.70928	13.15	V	1.46	0.72	135	
IC0196	G	30.95750	14.73914	14.11	B	2.47	0.67	9	
IC0197	G	31.02054	2.78683	14.25	B	1.01	0.53	54	
IC0198	G	31.51300	9.29556	14.81	B	1.01	0.56	51	
IC0199	G	31.58083	9.22742	15.33	B	1.28	0.56	24	
IC0200	G	31.36100	31.17533	12.82	V	1.38	1.06	92	
IC0201	G	31.81371	9.11506	16.77	B	0.54	0.50	60	
IC0202	G	31.86942	9.16831	15.22	B	1.35	0.36	131	
IC0203	G	31.87354	9.12264	16.90	B	0.60	0.51	10	
IC0204	G	31.86283	-1.43019	15.82	B	0.55	0.36	155	
IC0205	G	31.86429	-2.09128	14.76	B	0.92	0.82	40	
IC0206	G	32.37783	-6.96839	14.34	B	1.22	0.39	130	
IC0207	G	32.41396	-6.92219	14.53	B	1.81	0.45	98	
IC0208	G	32.11558	6.39492	14.73	B	1.32	1.13	168	
IC0209	G	32.24462	-7.05892	13.80	B	1.51	1.03	82	
IC0210	G	32.36783	-9.68033	13.82	B	2.35	0.65	66	
IC0211	G	32.78333	3.85250	14.07	B	1.66	0.76	56	
IC0212	G	33.40942	16.59394	15.75	B	0.79	0.54	84	
IC0213	G	33.51783	16.45589	13.20	V	1.43	1.01	148	
IC0214	G	33.52329	5.17325	14.16	V	0.58	0.45	65	
IC0215	G	33.53942	-6.80633	15.62	B	0.84	0.19	78	
IC0216	G	33.98133	-2.01511	15.87	B	0.50	0.32	25	
IC0217	G	34.04350	-11.92672	15.08	B	2.00	0.45	35	
IC0218	G	34.28021	1.28233	15.63	B	0.91	0.30	75	
IC0219	G	34.66179	-6.90333	14.44	B	1.56	1.19	177	
IC0220	G	34.79887	-12.78164	15.08	B	0.67	0.32	34	
IC0221	G	35.67042	28.25697	13.81	B	1.54	1.19	16	
IC0222	G	35.69937	11.63833	15.14	B	0.84	0.65	42	
