# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
NGC2319	OCl	105.13421	3.04219	11.85	V	6.00			
NGC2320	G	106.42512	50.58106	11.94	V	1.48	0.83	138	
NGC2321	G	106.49583	50.75603	14.96	B	1.28	1.04	128	
NGC2322	G	106.50125	50.51031	14.54	B	1.11	0.41	134	
NGC2323	OCl	105.66863	-8.36403	5.90	V	14.10			M50
NGC2324	OCl	106.03317	1.04461	8.40	V	8.70			
NGC2325	G	105.66833	-28.69722	11.18	V	3.97	2.31	4	
NGC2326	G	107.04592	50.68194	14.19	B	2.05	1.69	105	
NGC2326A	G	107.14254	50.63139	15.46	B	0.81	0.64	6	
NGC2327	RfN	106.03008	-11.31411			1.00	1.00		
NGC2328	G	105.65083	-42.06856	12.55	V	1.59	1.44	120	
NGC2329	G	107.28338	48.61542	12.51	V	1.41	1.17	175	
NGC2330	G	107.36833	50.15253	13.05	V	0.65	0.52	55	
NGC2331	OCl	106.74929	27.26158	8.50	V	4.80			
NGC2332	G	107.39233	50.18228	13.93	B	1.72	1.17	65	
NGC2333	G	107.08892	35.17003	14.05	B	1.00	0.70	38	
NGC2334	G	107.89021	50.24825	14.56	B	1.20	0.87	70	
NGC2335	OCl	106.70604	-10.02864	7.20	V	8.70			
NGC2336	G	111.76687	80.17808	10.68	V	5.01	2.81	175	
NGC2337	G	107.55658	44.45731	12.53	V	2.18	1.61	114	
NGC2338	OCl	106.94737	-5.71972			3.30			
NGC2339	G	107.08558	18.78025	11.76	V	2.42	1.53	180	
NGC2340	G	107.79513	50.17475	11.73	V	3.16	1.64	71	
NGC2341	G	107.30017	20.60292	13.21	V	0.82	0.79	60	
NGC2342	G	107.32533	20.63597	12.64	V	1.17	0.84	66	
NGC2343	OCl	107.02833	-10.61681	6.70	V	7.50			
NGC2344	G	108.11942	47.16669	12.08	V	2.07	1.87	145	
NGC2345	OCl	107.07829	-13.19375	7.70	V	6.90			
NGC2346	PN	107.34588	-0.80914	11.60	V	0.87			
NGC2347	G	109.01538	64.70892	12.55	V	1.64	1.19	5	
NGC2348	OCl	105.76050	-67.39394			5.70			
NGC2349	OCl	107.70063	-8.59325			5.10			
NGC2350	G	108.30079	12.26608	14.02	B	1.38	0.70	110	
NGC2351	OCl	108.38346	-10.49142			3.00			
NGC2352	OCl	108.27267	-24.04608			4.80			
NGC2353	OCl	108.62629	-10.26586	7.10	V	6.60			
NGC2354	OCl	108.52196	-25.68892	6.50	V	4.80			
NGC2355	OCl	109.24692	13.74986	9.70	V	6.00			
NGC2357	G	109.42079	23.35675	14.46	B	3.22	0.48	120	
NGC2358	OCl	109.23471	-17.11708			9.60			
NGC2359	HII	109.62908	-13.22719			10.00	5.00		
NGC2360	OCl	109.42967	-15.64131	7.20	V	9.00			Caroline's Cluster
NGC2361	Neb	109.59917	-13.20956						
NGC2362	OCl	109.67279	-24.95419	4.10	V	7.20			
NGC2363	G	112.12329	69.19286	15.50	B	1.13	0.64	17	
NGC2364	OCl	110.19362	-7.54972						
NGC2365	G	110.59396	22.08328	12.19	V	2.75	1.47	170	
NGC2366	G	112.22775	69.21578	11.17	V	4.37	1.44	31	
NGC2367	OCl	110.01892	-21.88408	7.90	V	5.40			
NGC2368	OCl	110.27625	-10.37178	11.80	V	4.50			
NGC2369	G	109.15721	-62.34372	12.26	V	3.03	0.68	175	
NGC2369A	G	109.68142	-62.93628	13.69	B	2.01	1.21	37	
NGC2369B	G	110.12346	-62.05397	14.35	V	1.48	1.24	3	
NGC2370	G	111.25692	23.78322	14.23	B	1.20	0.70	44	
NGC2371	PN	111.39442	29.49064	11.20	V	2.20	0.96	125	
NGC2373	G	111.65396	33.82369	14.56	B	0.59	0.42	176	
NGC2374	OCl	110.98363	-13.26336	8.00	V	9.00			
NGC2375	G	111.78950	33.83181	14.86	B	1.00	0.80	65	
NGC2376	G	111.64963	23.07294	14.67	B	0.65	0.57	31	
NGC2377	G	111.23675	-9.65931	14.56	V	1.60	1.11	3	
NGC2379	G	111.85942	33.81125	13.62	V	0.98	0.70	121	
NGC2380	G	110.97813	-27.52906	11.12	V	2.52	2.40	150	
NGC2381	G	109.98879	-63.06703	12.65	V	1.53	1.24	107	
NGC2383	OCl	111.16625	-20.94764	8.40	V	4.20			
NGC2384	OCl	111.29096	-21.01986	7.40	V	4.80			
NGC2385	G	112.11696	33.83781	15.12	B	0.94	0.68	53	
NGC2386	Other	112.15800	33.77381						
NGC2387	G	112.24138	36.87981	16.50	V	0.48	0.44	145	
NGC2388	G	112.22267	33.81908	14.66	B	0.87	0.56	66	
NGC2389	G	112.26938	33.86097	12.92	V	1.56	0.89	79	
NGC2392	PN	112.29483	20.91183	9.61	V	0.86			Eskimo Nebula
NGC2393	G	112.51929	34.02778	14.84	B	1.07	0.67	103	
NGC2394	OCl	112.15212	7.08656						
NGC2395	OCl	111.80354	13.60819	8.00	V	4.62			
NGC2396	OCl	112.01217	-11.71967	7.40	V	6.60			
NGC2397	G	110.33325	-69.00147	11.97	V	2.51	0.76	116	
NGC2397A	G	110.28296	-69.11533	14.85	B	1.10	0.84	169	
NGC2397B	G	110.48154	-68.84581	14.99	B	1.20	0.57	99	
NGC2398	G	112.56733	24.48789	15.19	B	1.20	0.74	126	
NGC2399	Other	112.45904	-0.21436						
NGC2400	Other	112.47858	-0.21472						
NGC2401	OCl	112.35167	-13.96622	12.60	V	2.70			
NGC2402	GPair	112.69667	9.65056			1.50			
NGC2402 NED01	G	112.69408	9.64689	15.29	B	1.23	0.72	55	
NGC2402 NED02	G	112.69917	9.65361	15.40	B	0.91	0.68	16	
NGC2403	G	114.21417	65.60256	8.43	V	19.95	10.07	126	
NGC2404	HII	114.27804	65.61081						
NGC2405	G	113.05825	25.90639	14.82	B	0.94	0.55	100	
NGC2406	G	112.94892	18.28792	15.36	B	0.69	0.61	53	
NGC2407	G	112.98613	18.33308	15.09	B	1.37	0.95	66	
NGC2408	OCl	115.13300	71.66819						
NGC2409	OCl	112.90300	-17.19042	7.30	V	0.11			
NGC2410	G	113.75942	32.82211	16.26	V	2.17	0.65	33	
NGC2411	G	113.65138	18.28156	14.40	B	1.00	0.65	48	
NGC2413	OCl	113.31875	-13.09556			4.80			
NGC2414	OCl	113.30333	-15.45386	7.90	V	5.40			
NGC2415	G	114.23621	35.24197	12.39	V	0.83	0.83	5	
NGC2416	G	113.92300	11.61203	14.26	B	0.87	0.18	95	
NGC2417	G	112.55037	-62.25264	12.28	V	2.48	1.78	83	
NGC2418	G	114.15629	17.88392	13.65	B	1.59	1.53	65	
NGC2419	GCl	114.53312	38.87997	10.05	V	4.50			
NGC2420	OCl	114.59958	21.57408	8.30	V	7.50			
NGC2421	OCl	114.04921	-20.61225	8.30	V	5.10			
NGC2422	OCl	114.14592	-14.48261	4.40	V	19.80			M47
NGC2423	OCl	114.27804	-13.87150	6.70	V	11.70			
NGC2424	G	115.16371	39.23331	12.63	V	3.37	0.52	82	
NGC2425	OCl	114.57346	-14.87783			5.40			
NGC2426	G	115.82692	52.31850	14.37	B	1.10	1.10	30	
NGC2427	G	114.11742	-47.63556	11.48	V	5.74	2.46	122	
NGC2428	OCl	114.84071	-16.52903			4.50			
NGC2429	GPair	115.95708	52.35306			2.30			
NGC2429A	G	115.94825	52.35742	14.61	B	1.68	0.31	147	
NGC2429B	G	115.96596	52.34847	15.00	B	0.41	0.22	55	
NGC2430	OCl	114.92104	-16.29606			4.20			
NGC2431	G	116.30579	53.07511	14.49	B	0.86	0.78	115	
NGC2432	OCl	115.22446	-19.06908	10.20	V	5.40			
NGC2433	Other	115.68179	9.25925						
NGC2434	G	113.71317	-69.28414	11.34	V	2.69	2.20	140	
NGC2435	G	116.05658	31.65111	13.39	B	2.17	0.42	36	
NGC2437	OCl	115.44508	-14.81000	6.10	V	21.00			M46
NGC2438	PN	115.45996	-14.73578	10.80	V	1.07			
NGC2439	OCl	115.18921	-31.69242	6.90	V	8.70			
NGC2440	PN	115.48067	-18.20847	9.40	V	0.27			
NGC2441	G	117.97808	73.01569	12.19	V	1.98	1.81	155	
NGC2442	G	114.09933	-69.53083	10.63	V	4.68	3.09	23	
NGC2444	G	116.72100	39.03186	13.22	V	1.07	0.66	35	
NGC2445	G	116.72958	39.01517	13.24	V	1.86	1.12	167	
NGC2446	G	117.16350	54.61192	13.80	B	1.75	0.91	128	
NGC2447	OCl	116.12179	-23.85308	6.20	V	15.00			M93
NGC2448	OCl	116.13829	-24.67317			6.00			
NGC2449	G	116.83450	26.93017	14.11	B	1.44	0.57	135	
NGC2450	G	116.88450	27.01914	15.16	B	0.97	0.30	156	
NGC2451	OCl	116.31254	-37.96744	9.50	V	37.50			
NGC2452	PN	116.85987	-27.33400	12.00	V	0.32			
NGC2453	OCl	116.89221	-27.19481	8.30	V	3.00			
NGC2454	G	117.64592	16.36858	14.47	B	1.18	0.51	101	
NGC2455	OCl	117.24417	-21.29794	10.20	V	4.50			
NGC2456	G	118.54442	55.49531	14.27	B	1.15	0.79	30	
NGC2457	G	118.69054	55.54656	15.81	B	0.50	0.26	131	
NGC2458	G	118.96404	56.71061	16.00	B	0.46	0.33	145	
NGC2459	OCl	118.00738	9.55742			2.70			
NGC2460	G	119.21788	60.34939	11.71	V	1.83	1.37	43	
NGC2462	G	119.13358	56.68711	14.93	B	0.60	0.35	155	
NGC2463	G	119.30200	56.67653	14.78	B	0.60	0.60	145	
NGC2464	Other	119.38621	56.69056						
NGC2466	G	116.31687	-71.41042	13.14	V	1.51	1.46	45	
NGC2467	Cl+N	118.09763	-26.44333			4.20			
NGC2468	G	119.51025	56.35958	14.76	B	1.51	0.52	50	
NGC2469	G	119.51425	56.68047	13.16	B	0.90	0.64	163	
NGC2470	G	118.58654	4.45969	12.69	V	1.95	0.60	127	
NGC2472	G	119.67458	56.70131	15.37	B	0.65	0.56	14	
NGC2473	G	118.89512	56.73581			0.52	0.38	80	
NGC2474	G	119.49563	52.85728	14.09	B	1.14	1.02	130	
NGC2475	G	119.50183	52.86169	13.11	V	1.07	0.96	68	
NGC2476	G	119.18825	39.92789	12.62	V	1.26	0.68	143	
NGC2477	OCl	118.04075	-38.53325	5.80	V	18.60			
NGC2479	OCl	118.77529	-17.70781	9.60	V	6.30			
NGC2480	G	119.29350	23.77981	15.00	B	1.32	0.51	163	
NGC2481	G	119.30729	23.76778	12.50	V	1.40	0.58	19	
NGC2482	OCl	118.79321	-24.25464	7.30	V	6.60			
NGC2483	OCl	118.91163	-27.88683	7.60	V	3.30			
NGC2484	G	119.61713	37.78661	13.13	V	1.69	1.04	141	
NGC2485	G	119.20275	7.47794	13.21	B	1.57	1.46	5	
NGC2486	G	119.48538	25.16086	13.47	V	1.49	0.85	89	
NGC2487	G	119.58525	25.14922	12.60	V	1.73	1.39	55	
NGC2488	G	120.44158	56.55386	12.45	V	1.45	0.83	100	
NGC2489	OCl	119.06225	-30.06083	7.90	V	4.20			
NGC2490	G	119.82446	27.07786	15.09	B	0.63	0.47	23	
NGC2491	G	119.61408	7.98381	15.90	B	0.69	0.53	78	
NGC2492	G	119.87379	27.02644	12.74	V	1.11	0.88	100	
NGC2493	G	120.09846	39.83042	12.06	V	1.87	1.85	30	
NGC2494	G	119.77975	-0.63792	14.28	B	0.97	0.80	89	
NGC2495	G	120.13813	39.84003	15.15	V	0.55	0.32	23	
NGC2496	G	119.65563	8.02981	14.70	B	1.86	1.48	173	
NGC2497	G	120.54637	56.94233	14.41	B	1.58	1.36	25	
NGC2498	G	119.91188	24.98233	14.28	B	1.04	0.67	127	
NGC2499	G	119.71546	7.49331	15.03	B	0.86	0.60	175	
NGC2500	G	120.47171	50.73711	11.65	V	2.47	2.34	15	
NGC2501	G	119.62517	-14.35428	14.50	B	1.73	1.16	120	
NGC2502	G	118.96467	-52.30678	11.96	V	2.21	1.12	118	
NGC2503	G	120.15283	22.40006	14.83	B	0.95	0.79	4	
NGC2504	G	119.96792	5.60811	14.21	B	0.62	0.37	126	
NGC2505	G	121.02850	53.54922	14.26	B	1.19	0.57	1	
NGC2506	OCl	120.00742	-10.76964	7.60	V	10.80			
NGC2507	G	120.40504	15.70975	13.92	B	1.52	1.43	60	
NGC2508	G	120.48842	8.55189	13.98	B	1.95	1.55	126	
NGC2509	OCl	120.19925	-19.05053	9.30	V	4.80			
NGC2510	G	120.54450	9.48597	14.54	B	0.97	0.67	114	
NGC2511	G	120.56254	9.39442	14.91	B	1.04	0.57	118	
NGC2512	G	120.78271	23.39183	13.15	V	1.35	0.78	116	
NGC2513	G	120.60279	9.41356	11.63	V	1.91	1.43	153	
NGC2514	G	120.70683	15.80828	13.45	V	1.20	1.13	30	
NGC2516	OCl	119.52942	-60.75347	3.80	V	24.30			
NGC2517	G	120.69613	-12.31783	11.92	V	1.74	1.49	44	
NGC2518	G	121.83438	51.13161	14.18	B	1.28	1.04	35	
NGC2520	OCl	121.24242	-28.14667	6.50	V	9.30			
NGC2521	G	122.20571	57.76961	13.10	V	0.96	0.54	35	
NGC2522	G	121.55600	17.70658	14.10	B	1.15	0.33	33	
NGC2523	G	123.75038	73.57897	11.90	V	2.79	1.78	66	
NGC2523A	G	121.03525	74.04778	14.44	B	1.11	0.95	80	
NGC2523B	G	123.23788	73.56325	14.70	B	1.87	0.25	91	
NGC2523C	G	124.43454	73.31761	14.20	B	1.49	0.87	92	
NGC2524	G	122.03996	39.15744	12.70	V	1.47	1.03	124	
NGC2525	G	121.40850	-11.42703	11.47	V	3.08	2.17	71	
NGC2526	G	121.74429	8.00394	14.58	B	0.91	0.46	137	
NGC2528	G	121.85346	39.19447	13.46	B	1.39	1.24	86	
NGC2529	Other	121.95463	17.82083						
NGC2530	G	121.98171	17.81850	14.62	B	1.40	0.95	171	
NGC2531	Other	122.00458	17.82061						
NGC2532	G	122.56325	33.95664	12.67	V	1.66	1.36	26	
NGC2533	OCl	121.76708	-29.88386	7.60	V	4.98			
NGC2534	G	123.22562	55.67206	12.97	V	1.40	1.30	50	
NGC2535	G	122.80621	25.20681	12.69	V	1.93	0.94	62	
NGC2536	G	122.81633	25.17936	14.14	V	0.73	0.45	53	
NGC2537	G	123.31100	45.98981	11.71	V	2.07	1.96	165	Bear Claw Nebula
NGC2537A	G	123.42096	45.99375	15.70	V	0.55	0.50	115	
NGC2538	G	122.84613	3.63319	13.75	B	1.58	1.12	30	
NGC2539	OCl	122.65408	-12.82067	6.50	V	12.30			
NGC2540	G	123.19350	26.36178	14.40	B	1.24	0.65	123	
NGC2541	G	123.66717	49.06172	11.70	V	3.02	1.60	170	
NGC2543	G	123.24133	36.25464	12.39	V	2.43	1.13	52	
NGC2544	G	125.41808	73.98836	12.91	V	1.53	1.06	67	
NGC2545	G	123.55900	21.35547	12.45	V	1.95	1.06	169	
NGC2546	OCl	123.06512	-37.59431	6.30	V	16.50			
NGC2547	OCl	122.53954	-49.20567	4.70	V	7.80			
NGC2548	OCl	123.42992	-5.75044	5.80	V	28.20			M48
NGC2549	G	124.74313	57.80306	11.14	V	3.63	0.92	179	
NGC2550	G	126.14108	74.01228	13.05	B	0.95	0.36	105	
NGC2550A	G	127.16642	73.74800	13.41	B	1.60	1.33	174	
NGC2551	G	126.20950	73.41203	12.11	V	1.57	1.09	53	
NGC2552	G	124.83554	50.00964	12.25	V	2.99	1.61	60	
NGC2553	G	124.39583	20.90308	14.70	B	1.11	0.67	57	
NGC2554	G	124.47287	23.47214	12.02	V	2.04	1.31	154	
NGC2555	G	124.48504	0.74569	13.40	B	1.85	1.39	111	
NGC2556	G	124.75354	20.93697	15.45	B	0.62	0.40	126	
NGC2557	G	124.79479	21.43578	14.32	B	1.08	0.87	50	
NGC2558	G	124.80317	20.51075	13.02	V	1.43	0.92	159	
NGC2559	G	124.27529	-27.45583	11.33	V	2.81	1.34	7	
NGC2560	G	124.96621	20.98497	13.28	V	1.60	0.38	92	
NGC2561	G	124.90404	4.65722	13.94	B	1.06	0.58	142	
NGC2562	G	125.09858	21.13147	12.98	V	1.03	0.79	1	
NGC2563	G	125.14871	21.06781	12.31	V	2.02	1.68	79	
NGC2564	G	124.62504	-21.81611	14.69	B	1.36	0.86	60	
NGC2565	G	124.95133	22.03144	12.48	V	1.67	0.73	166	
NGC2566	G	124.69025	-25.49953	10.81	V	3.98	2.75	56	
NGC2567	OCl	124.64658	-30.63561	7.40	V	6.00			
NGC2568	OCl	124.57550	-37.10539						
NGC2569	G	125.33808	20.86750	15.12	B	0.72	0.55	118	
NGC2570	G	125.34392	20.91056	14.67	V	0.70	0.37	71	
NGC2571	OCl	124.73479	-29.74928	7.00	V	7.20			
NGC2572	G	125.35262	19.14778	14.72	B	1.22	0.52	135	
NGC2573	G	25.40554	-89.33453	13.53	V	1.92	0.74	78	Polarissima Australis
NGC2573B	G	346.88675	-89.11650	15.33	B	1.13	0.35	122	
NGC2574	G	125.20067	-8.91847	13.22	B	2.17	1.08	172	
NGC2575	G	125.68733	24.29692	12.98	V	1.37	1.08	129	
NGC2576	G	125.74042	25.73872	15.15	B	1.61	0.30	40	
NGC2577	G	125.68104	22.55308	12.42	V	1.55	0.88	105	
NGC2578	G	125.35112	-13.31786	12.59	V	2.19	1.10	83	
NGC2579	Cl+N	125.22108	-36.21714			3.30			
NGC2580	OCl	125.36625	-30.29347	9.70	V	3.00			
NGC2581	G	126.12892	18.59708	14.43	B	0.96	0.70	4	
NGC2582	G	126.30029	20.33475	13.11	V	1.19	1.13	135	
NGC2583	G	125.78304	-5.00239	13.44	V	0.86	0.75	18	
NGC2584	G	125.81437	-4.97050	14.99	B	0.99	0.54	179	
NGC2585	G	125.85950	-4.91522	14.49	B	1.55	0.57	119	
NGC2586	Other	125.88087	-4.95194						
NGC2587	OCl	125.85033	-29.50872	9.20	V	6.00			
NGC2588	OCl	125.78987	-32.97517	11.80	V	3.90			
NGC2589	Other	126.12279	-8.76792						
NGC2590	G	126.25833	-0.59139	13.01	V	2.08	0.51	77	
NGC2591	G	129.35637	78.02642	12.66	B	2.95	0.64	33	
NGC2592	G	126.78354	25.97031	13.55	B	1.47	1.19	47	
NGC2593	G	126.69929	17.37492	14.83	B	0.97	0.53	171	
NGC2594	G	126.82150	25.87881	14.93	B	0.91	0.56	20	
NGC2595	G	126.92508	21.47911	12.39	V	1.66	1.12	175	
NGC2596	G	126.86050	17.28408	13.48	V	1.38	0.51	64	
NGC2598	G	127.51050	21.48867	13.61	V	1.19	0.38	3	
NGC2599	G	128.04708	22.56056	12.20	V	1.56	1.32	108	
NGC2600	G	128.68771	52.71569	15.05	B	1.21	0.41	72	
NGC2601	G	126.37775	-68.11767	13.43	B	1.69	1.15	114	
NGC2602	G	128.76771	52.83153	15.45	B	0.65	0.41	26	
NGC2603	G	128.62996	52.84022	16.82	B	0.40	0.34	164	
NGC2604	G	128.34642	29.53881	14.92	V	1.48	1.37	50	
NGC2604B	G	128.39858	29.49969	15.71	B	0.56	0.23	58	
NGC2605	G	128.72212	52.80431	16.43	B	0.45	0.35	27	
NGC2606	G	128.89350	52.78892	14.90	B	0.87	0.45	56	
NGC2607	G	128.48608	26.97267	14.95	B	0.84	0.80	160	
NGC2608	G	128.82221	28.47342	12.25	V	1.95	0.95	64	
NGC2609	OCl	127.37354	-61.11022			3.60			
NGC2610	PN	128.34750	-16.14944	12.70	V	0.63			
NGC2611	G	128.87154	25.02750	15.28	B	0.80	0.26	51	
NGC2612	G	128.45875	-13.17453	12.91	B	2.60	0.80	117	
NGC2613	G	128.34517	-22.97367	10.38	V	7.62	1.79	113	
NGC2614	G	130.69979	72.97647	13.89	B	2.04	1.67	132	
NGC2615	G	128.63896	-2.54681	13.38	B	1.20	0.82	44	
NGC2616	G	128.89196	-1.85014	12.57	V	1.43	0.98	147	
NGC2617	G	128.91163	-4.08822	14.00	V	1.40	1.10	127	
NGC2618	G	128.97308	0.70711	13.96	B	2.07	0.88	141	
NGC2619	G	129.38629	28.70519	12.72	V	1.93	1.17	38	
NGC2620	G	129.36767	24.94694	14.61	B	2.00	0.50	93	
NGC2621	G	129.40408	24.99981	15.42	B	0.73	0.47	176	
NGC2622	G	129.54558	24.89528	14.12	V	0.94	0.60	10	
NGC2623	G	129.60033	25.75464	13.55	V	2.39	0.70	36	
NGC2624	G	129.54012	19.72567	14.57	B	0.77	0.47	35	
NGC2625	G	129.59675	19.71667	15.17	B	0.53	0.44	32	
NGC2626	RfN	128.87033	-40.66833			5.00	5.00		
NGC2627	OCl	129.31225	-29.95042	8.40	V	5.40			
NGC2628	G	130.09462	23.53967	14.04	B	1.04	0.93	30	
NGC2629	G	131.81592	72.98564	12.26	V	1.97	1.42	100	
NGC2630	Other	131.78042	73.00031						
NGC2631	Other	131.78042	73.00031						
NGC2632	OCl	130.09250	19.67206	3.10	V	108.60			Beehive
NGC2633	G	132.01908	74.09886	12.08	V	2.31	1.45	175	
NGC2634	G	132.10579	73.96717	11.97	V	1.72	1.66	30	
NGC2634A	G	132.15892	73.93928	14.23	B	1.19	0.37	67	
NGC2635	OCl	129.60829	-34.77158	11.20	V	5.10			
NGC2636	G	132.10179	73.67114	13.77	V	0.34	0.34	30	
NGC2637	G	130.30621	19.69144	15.57	B	0.51	0.43	48	
NGC2638	G	130.60737	37.22103	13.72	B	1.66	0.59	70	
NGC2639	G	130.90867	50.20556	11.76	V	1.61	1.21	140	
NGC2640	G	129.35258	-55.12375	11.02	V	4.67	4.00	104	
NGC2641	G	131.98954	72.89578	14.93	B	1.26	1.04	178	
NGC2642	G	130.18488	-4.12172	12.65	V	1.92	1.43	145	
NGC2643	G	130.46558	19.70253	15.45	B	0.68	0.37	19	
NGC2644	G	130.38275	4.98033	13.49	B	1.64	0.65	12	
NGC2645	OCl	129.76300	-46.22731	7.32	V	6.60			
NGC2646	G	132.59188	73.46308	13.15	B	1.47	1.05	47	
NGC2647	G	130.67958	19.65061	15.02	B	0.72	0.57	50	
NGC2648	G	130.66583	14.28561	11.88	V	3.15	1.08	151	
NGC2649	G	131.03446	34.71725	13.16	B	1.47	1.38	60	
NGC2650	G	132.49312	70.29944	14.22	B	1.38	0.99	82	
NGC2651	G	130.97979	11.77100	15.64	B	0.53	0.44	124	
NGC2654	G	132.29946	60.22111	11.69	V	4.45	0.89	64	
NGC2655	G	133.90721	78.22308	10.39	V	3.93	2.06	16	
NGC2656	G	131.97113	53.87617	13.76	V	1.31	1.18	65	
NGC2657	G	131.31588	9.64550	13.93	B	1.28	1.09	116	
NGC2658	OCl	130.86392	-32.65622	9.20	V	7.20			
NGC2659	OCl	130.63758	-45.00053	8.60	V	5.10			
NGC2660	OCl	130.65829	-47.20067	8.80	V	3.60			
NGC2661	G	131.49808	12.61992	13.86	B	1.48	1.35	5	
NGC2662	G	131.38346	-15.12125	15.05	B	1.23	1.15	10	
NGC2663	G	131.28437	-33.79475	10.59	V	3.90	2.75	111	
NGC2664	OCl	131.77929	12.60578			6.60			
NGC2665	G	131.50413	-19.30289	11.63	V	2.00	1.72	55	
NGC2666	OCl	132.44592	44.70367						
NGC2667	G	132.11354	19.01950	14.76	B	1.03	0.37	78	
NGC2667B	G	132.12571	19.04389	15.49	B	0.85	0.28	43	
NGC2668	G	132.34400	36.71033	14.85	B	1.23	0.66	151	
NGC2669	OCl	131.59404	-52.94753	6.10	V	8.40			
NGC2670	OCl	131.37283	-48.79164	7.80	V	4.20			
NGC2671	OCl	131.54954	-41.87717	11.60	V	5.10			
NGC2672	G	132.34121	19.07497	11.64	V	3.20	2.87	100	
NGC2673	G	132.35058	19.07419	14.04	B	1.23	0.81	167	
NGC2674	G	132.30504	-14.29422	15.88	B	1.04	0.49	65	
NGC2675	G	133.02062	53.61731	13.26	V	1.51	1.05	83	
NGC2676	G	132.89854	47.55767	14.46	B	1.20	1.12	175	
NGC2677	G	132.50554	19.00978	15.18	B	0.70	0.41	169	
NGC2678	OCl	132.51146	11.33811			10.00	10.00	0	
NGC2679	G	132.88725	30.86536	14.07	B	1.85	1.85	165	
NGC2681	G	133.38642	51.31367	10.86	V	3.97	3.97	70	
NGC2682	OCl	132.83388	11.81194	6.90	V	33.00			M67
NGC2683	G	133.17221	33.42175	9.69	V	9.48	2.70	44	
NGC2684	G	133.72517	49.16039	13.01	V	1.10	0.84	49	
NGC2685	G	133.89462	58.73439	11.35	V	4.33	2.31	38	Helix Galaxy
NGC2686	GPair	133.74917	49.14236			1.60			
NGC2686A	G	133.74546	49.14233	17.12	V	0.88	0.51	71	
NGC2686B	G	133.75246	49.14244	16.66	B	0.48	0.35	63	
NGC2687	GPair	133.77292	49.15592			1.30			
NGC2687A	G	133.77092	49.15650	17.00	B	0.23	0.11		
NGC2687B	G	133.77517	49.15611	15.60	B	0.69	0.39	28	
NGC2688	G	133.79829	49.12261	16.41	B	0.47	0.36	87	
NGC2689	G	133.85587	49.11547	16.82	B	0.41	0.30	99	
NGC2690	G	133.15846	-2.60322	13.94	B	1.70	0.39	20	
NGC2691	G	133.69308	39.53867	13.47	V	1.26	0.90	166	
NGC2692	G	134.24171	52.06594	12.75	V	1.25	0.55	163	
NGC2693	G	134.24696	51.34744	11.86	V	2.00	1.37	158	
NGC2694	G	134.24692	51.33197	14.14	V	0.81	0.50	177	
NGC2695	G	133.61279	-3.06703	12.02	V	1.63	1.45	161	
NGC2696	G	132.67521	-5.00978	15.88	B	1.03	0.95	25	
NGC2697	G	133.74750	-2.98761	13.47	B	1.63	0.96	123	
NGC2698	G	133.90212	-3.18394	11.86	V	1.47	0.53	96	
NGC2699	G	133.95333	-3.12758	13.47	B	1.41	0.76	40	
NGC2701	G	134.77392	53.77167	12.36	V	1.94	1.30	25	
NGC2704	G	134.19871	39.38219	14.32	B	1.04	1.01	120	
NGC2706	G	134.05129	-2.56344	13.71	B	1.67	0.57	168	
NGC2708	G	134.03354	-3.36011	11.96	V	2.93	1.06	18	
NGC2709	G	134.05358	-3.24322	15.02	B	0.79	0.65	95	
NGC2710	G	134.95146	55.70639	13.08	V	2.02	0.97	119	
NGC2711	G	134.34833	17.28803	14.65	B	0.56	0.38	158	
NGC2712	G	134.87696	44.91389	12.19	V	2.93	1.59	1	
NGC2713	G	134.33546	2.92131	11.82	V	3.37	1.15	106	
NGC2714	G	133.37425	-59.21711	14.00	B	1.37	1.18	50	
NGC2715	G	137.02583	78.08517	11.49	V	4.20	1.41	20	
NGC2716	G	134.39950	3.09022	12.19	V	1.63	1.14	45	
NGC2717	G	134.25467	-24.67375	12.29	V	2.03	1.69	12	
NGC2718	G	134.71029	6.29300	14.24	V	1.72	1.09	152	
NGC2719	G	135.06442	35.72764	14.00	V	1.17	0.30	132	
NGC2719A	G	135.06642	35.72014	14.50	B	0.49	0.40	150	
NGC2720	G	134.78358	11.14922	14.22	B	1.26	1.11	40	
NGC2721	G	134.73550	-4.90194	13.22	B	1.85	1.33	164	
NGC2722	G	134.69237	-3.71011	13.46	B	1.83	0.95	80	
NGC2723	G	135.05983	3.17775	14.28	B	1.14	1.04	65	
NGC2724	G	135.25758	35.76206	14.74	B	1.20	0.68	175	
NGC2725	G	135.26342	11.09839	14.29	B	0.67	0.58	14	
NGC2726	G	136.23654	59.93292	13.00	V	1.53	0.46	87	
NGC2728	G	135.42054	11.08297	15.24	B	0.98	0.63	55	
NGC2729	G	135.36925	3.72061	14.14	B	1.06	0.64	1	
NGC2730	G	135.56596	16.83831	13.78	B	1.45	0.95	72	
NGC2731	G	135.53504	8.30167	14.12	B	0.72	0.49	72	
NGC2732	G	138.35304	79.18733	11.89	V	1.81	0.71	66	
NGC2734	G	135.75671	16.86361	15.74	B	0.92	0.78	88	
NGC2735	G	135.66100	25.93453	13.76	V	1.42	0.53	96	
