8417387	43.7883	-69.8933	T	Cundy Harbor, New Meadows River, ME
8417391	44.0083	-69.8950	T	Bowdoinham, Cathance River, ME
8417527	43.9217	-69.9633	T	Brunswick, Androscoggin River, ME
8417553	43.8250	-69.9767	T	Wilson Cove, Middle Bay, ME
8417647	43.7383	-70.0233	T	South Harpswell, Potts Harbor, ME
8417801	43.8200	-70.1033	T	South Freeport, ME
8417821	43.6950	-70.1100	T	Cliff Island, Luckse Sound, ME
8417874	43.7517	-70.1400	T	Doyle Point, ME
8417881	43.7217	-70.1417	T	Great Chebeague Island, ME
8417911	43.6767	-70.1550	T	Vaill Island, ME
8417941	43.6900	-70.1700	T	Long Island, ME
8417948	43.7617	-70.1733	T	Prince Point, ME
8417988	43.6700	-70.2000	T	Great Diamond Island, ME
8417997	43.6450	-70.1983	T	Cushing Island, ME
8418001	43.6550	-70.2000	T	Peak Island, ME
8418009	43.6900	-70.1900	T	Cow Island, ME
8418015	43.7317	-70.2050	T	Falmouth Foreside, ME
8418031	43.6233	-70.2067	T	Portland Head Light, ME
8418137	43.6867	-70.2467	T	Presumpscot River Bridge, ME
8418150	43.6581	-70.2442	T	PORTLAND, ME
8418175	43.6767	-70.2550	T	Back Cove, ME
8418268	43.6417	-70.2850	T	Fore River, ME
8418445	43.5450	-70.3333	T	Pine Point, Scarborough River, ME
8418557	43.5167	-70.3667	T	Old Orchard Beach, ME
8418606	43.4617	-70.3817	T	Camp Ellis, Saco River Entrance, ME
8418772	43.3667	-70.4317	T	Cape Porpoise, ME
8418828	43.4917	-70.4467	T	Biddeford, Saco River, ME
8418911	43.3583	-70.4767	T	Kennebunkport, ME
8419317	43.3200	-70.5633	T	Wells, Webhannet River, ME
8419399	43.1667	-70.5933	T	Cape Neddick, ME
8419518	43.1317	-70.6417	T	York Harbor, ME
8419528	43.1300	-70.6383	T	Fort Point, York Harbor, ME
8419590	43.0850	-70.6617	T	Seapoint, Cutts Island, ME
8419688	43.0667	-70.6967	T	Gerrish Island, ME
8419807	43.0817	-70.7033	T	Kittery Point, ME
8419870	43.0797	-70.7411	T	Seavey Island, ME
8419997	43.1917	-70.8250	T	Salmon Falls River, ME
8420411	43.1983	-70.8683	T	Dover, Cocheco River, NH
8421897	43.1217	-70.8333	T	Dover Point, NH
